X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
1045.0,1045.0,train,7.630599178198986E-5,19.14104705171235,0.3970806452182867
1046.0,1046.0,train,1.7860352138423654E-4,44.34233869266976,0.6940363739936668
1047.0,1047.0,train,2.1793609087073946E-4,51.02375574099258,0.764276675946587
1048.0,1048.0,train,2.153829468939998E-4,50.49750782179289,0.7602520369441561
1049.0,1049.0,train,1.352456670050396E-4,35.96434163291899,0.5921234082449014
1050.0,1050.0,train,2.0963703866281493E-4,49.65614140802333,0.7509413673847019
1051.0,1051.0,train,3.700057640689573E-4,85.98941306873867,0.9140031157968601
1052.0,1052.0,train,4.372336135078641E-4,98.45094078470592,0.9449338700534509
1053.0,1053.0,train,4.2729096391821525E-4,96.0639830936267,0.9411811245132905
1054.0,1054.0,train,2.2890714107064866E-4,53.953272496749975,0.7808159855579192
1055.0,1055.0,train,1.3768980375351622E-4,36.59548260506721,0.598680443281342
1056.0,1056.0,train,3.169768607526667E-4,71.97964580558094,0.8777660844291336
1057.0,1057.0,train,3.4603670673560556E-4,79.94155014291569,0.8991891752637107
1058.0,1058.0,train,3.6241754830149527E-4,85.61696174749007,0.909565375227905
1059.0,1059.0,train,1.0677200548505847E-4,28.179564942988907,0.5073649770600712
1060.0,1060.0,train,2.760891752052196E-4,64.90091267097257,0.83969861183734
1061.0,1061.0,train,9.994241181260244E-5,26.257542464279943,0.4845427166775106
1062.0,1062.0,train,6.702768461976895E-5,16.198853676257432,0.3588225206180746
1063.0,1063.0,train,2.4948811990785857E-4,59.666965025805375,0.8087765355186923
1064.0,1064.0,train,1.332359109191919E-4,35.113362841004246,0.5866515249704557
1065.0,1065.0,train,3.466645879528913E-4,80.01426672229935,0.8996080157026258
1066.0,1066.0,train,1.338351282458363E-4,35.252539585331924,0.5882906266424794
1067.0,1067.0,train,1.297863168847614E-4,34.54116052311068,0.5770877698899253
1068.0,1068.0,train,2.2665823406019397E-4,53.255282195817834,0.7775229970040208
1069.0,1069.0,train,2.1867207636518978E-4,51.29575162164917,0.7654242486778622
1070.0,1070.0,train,2.3148263295673054E-4,54.68002208177885,0.7845273506237488
1071.0,1071.0,train,5.3923262403022256E-5,12.93374393654169,0.3006163450386311
1072.0,1072.0,train,3.6199773457450975E-4,82.52851272393895,0.909313280542953
1073.0,1073.0,train,7.195374842643887E-5,17.5703311858436,0.3794275114818251
1074.0,1074.0,train,1.631788335137692E-4,41.289953001029225,0.6610865847378361
1075.0,1075.0,train,3.1951576809124385E-4,72.28033055883336,0.8798066742474389
1076.0,1076.0,train,1.5664894598594965E-5,4.888737355422847,0.09865862285963434
1077.0,1077.0,train,1.5408856727855554E-4,39.72134010479007,0.6400300177209488
1078.0,1078.0,train,3.4603670673560556E-4,79.94155014291569,0.8991891752637107
1079.0,1079.0,train,3.6199773457450975E-4,82.52851272393895,0.909313280542953
1080.0,1080.0,train,3.109018879827904E-4,70.88331403615746,0.8727417300321488
1081.0,1081.0,train,3.6199773457450975E-4,82.52851272393895,0.909313280542953
1082.0,1082.0,train,2.9037661517758E-4,67.64314612053113,0.8541879918642442
1083.0,1083.0,train,5.2385739514096756E-5,12.62510567517787,0.2934496244414646
1084.0,1084.0,train,7.56593280244991E-5,18.949162286949534,0.39448982733211846
1085.0,1085.0,train,3.2943931048097486E-4,76.12683669026225,0.8874609579955536
1086.0,1086.0,train,3.795165220593755E-4,87.84847392640923,0.9192589698297542
1087.0,1087.0,train,4.930071620175243E-5,11.978232549716257,0.27884740498173144
1088.0,1088.0,train,2.946357842246211E-4,68.25060991936058,0.8582483810989935
1089.0,1089.0,train,6.955311385842558E-5,16.858076771890165,0.36947007721027236
1090.0,1090.0,train,1.352456670050396E-4,35.96434163291899,0.5921234082449014
1091.0,1091.0,train,2.505397711771104E-4,59.996546556768,0.8101053589379889
1092.0,1092.0,train,2.9887820060330847E-4,68.78181935537783,0.8621803930168599
1093.0,1093.0,train,3.2943931048097486E-4,76.12683669026225,0.8874609579955536
1094.0,1094.0,train,1.7830434213091966E-4,44.28896693111498,0.6934287990993498
1095.0,1095.0,train,3.380682661420287E-4,79.12321682301474,0.8937193656831469
1096.0,1096.0,train,2.346715354294068E-4,55.526750075092394,0.7890357002213155
1097.0,1097.0,train,3.2943931048097486E-4,76.12683669026225,0.8874609579955536
1098.0,1098.0,train,4.1270795969811737E-4,95.15331560120252,0.935209421885862
1099.0,1099.0,train,1.6398856161627684E-4,41.51501497384316,0.6629013910942954
1100.0,1100.0,train,4.345189514522456E-4,98.29477735134647,0.9439336797545322
1101.0,1101.0,train,7.244834754723187E-5,17.755234129717746,0.38145940803864153
1102.0,1102.0,train,3.5545238099116746E-4,80.87484487791349,0.9052907160298851
1103.0,1103.0,train,1.5292133413809E-5,4.7638229043749805,0.09642800833322851
1104.0,1104.0,train,2.168571600232757E-4,50.76747249131616,0.7625842163634171
1105.0,1105.0,train,3.033782193270425E-5,8.252689934949231,0.18222238941371505
1106.0,1106.0,train,3.6483900842724165E-4,85.80438669602064,0.9110058241008919
1107.0,1107.0,train,1.4364324710604843E-4,37.824557818895926,0.614214407025722
1108.0,1108.0,train,4.5733457944299814E-4,99.3017096516408,0.951805312467018
1109.0,1109.0,train,2.86802644134568E-4,66.77076896159186,0.8506912125877737
1110.0,1110.0,train,3.795165220593755E-4,87.84847392640923,0.9192589698297542
1111.0,1111.0,train,1.0423868699647769E-4,27.503616837718567,0.4990198007013894
1112.0,1112.0,train,7.5426968923220936E-6,2.048368808841149,0.04878419535992695
1113.0,1113.0,train,9.8044596307417E-5,25.80856979684526,0.47801517228607626
1114.0,1114.0,train,4.351373778839916E-5,10.8470569997762,0.2506372256199486
1115.0,1115.0,train,6.752906181426399E-5,16.34944825027429,0.3609506048685539
1116.0,1116.0,train,6.8513737946948E-5,16.609785086654366,0.3651095051476403
1117.0,1117.0,train,3.2353538083414787E-4,73.52945343532625,0.8829679138690406
1118.0,1118.0,train,1.0670356280820244E-4,28.16276863935644,0.5071413530039343
1119.0,1119.0,train,2.1800038666838003E-4,51.05208583187611,0.764377151468051
1120.0,1120.0,train,2.1800038666838003E-4,51.05208583187611,0.764377151468051
1121.0,1121.0,train,7.294082758561815E-5,18.0040893580536,0.3834759888166651
1122.0,1122.0,train,1.0108908484731116E-4,26.585488419200953,0.4884470777026175
1123.0,1123.0,train,3.137896594955016E-4,71.8358011587652,0.875155329336073
1124.0,1124.0,train,3.137896594955016E-4,71.8358011587652,0.875155329336073
1125.0,1125.0,train,1.2653340872969954E-4,33.74913580454944,0.5678666872632793
1126.0,1126.0,train,1.146115287305355E-4,30.50808814541515,0.5323191780700194
1127.0,1127.0,train,2.8679942800473237E-4,66.76792810465453,0.8506880284542593
